model,completed_answers,avg_total_latency,avg_retrieval_time,avg_generation_time,avg_tokens_per_second,avg_keyword_score,avg_source_score,avg_overall_auto_score,total_must_not_include_violations,not_enough_rate
qwen3:8b,100,87.19424000000001,3.4547399999999997,83.73842,9.078,0.83702,0.56332,0.73749,16,0.29
qwen3:1.7b,100,16.7928,3.4547399999999997,13.33758,98.36727,0.7841899999999999,0.54165,0.7297899999999999,7,0.22
qwen3:4b,100,54.21418,3.4547399999999997,50.758379999999995,50.046440000000004,0.68085,0.49665,0.6642,6,0.33
gemma3:4b,100,17.93569,3.4547399999999997,14.480360000000001,32.16641,0.6817,0.44332,0.6508799999999999,4,0.24
phi4-mini:3.8b,100,15.33321,3.4547399999999997,11.87806,62.75831,0.58267,0.42999000000000004,0.5870799999999999,3,0.58
